
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                rw[30]     -1.04      0.00     -1.04     -1.04     -1.04      0.50      0.99
                rw[31]      1.47      0.00      1.47      1.47      1.47      0.50      0.99
                rw[32]      0.80      0.00      0.80      0.80      0.80      0.50      0.99
                rw[33]     -0.03      0.00     -0.03     -0.03     -0.03       nan       nan
                rw[34]      1.18      0.00      1.18      1.18      1.18      0.50      0.99
                rw[35]      1.81      0.00      1.81      1.81      1.81       nan      0.99
                rw[36]      0.26      0.00      0.26      0.26      0.26      0.50      0.99
                rw[37]     -1.60      0.00     -1.60     -1.60     -1.60      0.50      0.99
                rw[38]     -0.10      0.00     -0.10     -0.10     -0.10      0.50       nan
                rw[39]      0.17      0.00      0.17      0.17      0.17       nan       nan
                rw[40]      1.24      0.00      1.24      1.24      1.24      0.50      0.99
                rw[41]      1.58      0.00      1.58      1.58      1.58      0.50      0.99
                rw[42]      0.65      0.00      0.65      0.65      0.65      0.50      0.99
                rw[43]      0.74      0.00      0.74      0.74      0.74      0.50      0.99
                rw[44]      0.62      0.00      0.62      0.62      0.62      0.50      0.99
                rw[45]     -1.68      0.00     -1.68     -1.68     -1.68      0.50      0.99
                rw[46]      1.29      0.00      1.29      1.29      1.29      0.50      0.99
                rw[47]      0.44      0.00      0.44      0.44      0.44      0.50      0.99
                rw[48]      1.24      0.00      1.24      1.24      1.24      0.50      0.99
                rw[49]      1.82      0.00      1.82      1.82      1.82      0.50      0.99
                rw[50]     -1.28      0.00     -1.28     -1.28     -1.28      0.50      0.99
                rw[51]     -0.52      0.00     -0.52     -0.52     -0.52      0.50      0.99
                rw[52]     -1.38      0.00     -1.38     -1.38     -1.38      0.50      0.99
                rw[53]     -1.21      0.00     -1.21     -1.21     -1.21      0.50      0.99
                rw[54]     -0.24      0.00     -0.24     -0.24     -0.24      0.50      0.99
                rw[55]      0.14      0.00      0.14      0.14      0.14      0.50      0.99
                rw[56]      0.93      0.00      0.93      0.93      0.93      0.50      0.99
                rw[57]      1.38      0.00      1.38      1.38      1.38      0.50      0.99
                rw[58]      1.68      0.00      1.68      1.68      1.68      0.50      0.99
                rw[59]     -0.25      0.00     -0.25     -0.25     -0.25      0.50      0.99
                rw[60]     -0.07      0.00     -0.07     -0.07     -0.07       nan       nan
                rw[61]      0.99      0.00      0.99      0.99      0.99      0.50      0.99
                rw[62]      0.27      0.00      0.27      0.27      0.27      0.50      0.99
                rw[63]      0.57      0.00      0.57      0.57      0.57      0.50      0.99
                rw[64]      1.87      0.00      1.87      1.87      1.87      0.50      0.99
                rw[65]     -1.36      0.00     -1.36     -1.36     -1.36      0.50      0.99
                rw[66]     -1.32      0.00     -1.32     -1.32     -1.32      0.50      0.99
                rw[67]     -1.71      0.00     -1.71     -1.71     -1.71      0.50      0.99
                rw[68]     -1.17      0.00     -1.17     -1.17     -1.17      0.50      0.99
                rw[69]     -1.21      0.00     -1.21     -1.21     -1.21      0.50      0.99
                rw[70]     -0.19      0.00     -0.19     -0.19     -0.19       nan       nan
                rw[71]      1.69      0.00      1.69      1.69      1.69      0.50      0.99
                rw[72]      1.54      0.00      1.54      1.54      1.54      0.50      0.99
                rw[73]     -1.70      0.00     -1.70     -1.70     -1.70      0.50      0.99
                rw[74]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
                rw[75]     -1.31      0.00     -1.31     -1.31     -1.31      0.50      0.99
                rw[76]      1.61      0.00      1.61      1.61      1.61      0.50      0.99
                rw[77]      0.61      0.00      0.61      0.61      0.61      0.50      0.99
                rw[78]     -0.66      0.00     -0.66     -0.66     -0.66      0.50      0.99
                rw[79]      0.94      0.00      0.94      0.94      0.94      0.50      0.99
                rw[80]     -1.48      0.00     -1.48     -1.48     -1.48      0.50      0.99
                rw[81]     -0.23      0.00     -0.23     -0.23     -0.23      0.50      0.99
                rw[82]      1.91      0.00      1.91      1.91      1.91      0.50      0.99
                rw[83]     -1.57      0.00     -1.57     -1.57     -1.57      0.50      0.99
                rw[84]      0.61      0.00      0.61      0.61      0.61      0.50       nan
                rw[85]      0.64      0.00      0.64      0.64      0.64      0.50      0.99
                rw[86]     -0.23      0.00     -0.23     -0.23     -0.23      0.50       nan
                rw[87]     -1.87      0.00     -1.87     -1.87     -1.87      0.50      0.99
                rw[88]      0.39      0.00      0.39      0.39      0.39      0.50      0.99
                rw[89]     -1.74      0.00     -1.74     -1.74     -1.74      0.50      0.99
                rw[90]     -0.06      0.00     -0.06     -0.06     -0.06       nan       nan
                rw[91]     -0.68      0.00     -0.68     -0.68     -0.68       nan      0.99
                rw[92]      1.56      0.00      1.56      1.56      1.56      0.50      0.99
                rw[93]      0.47      0.00      0.47      0.47      0.47      0.50      0.99
                rw[94]     -1.90      0.00     -1.90     -1.90     -1.90      0.50      0.99
                rw[95]      1.36      0.00      1.36      1.36      1.36      0.50      0.99
                rw[96]     -0.35      0.00     -0.35     -0.35     -0.35      0.50      0.99
                rw[97]     -1.78      0.00     -1.78     -1.78     -1.78      0.50      0.99
                rw[98]     -1.19      0.00     -1.19     -1.19     -1.19      0.50      0.99
                rw[99]     -1.96      0.00     -1.96     -1.96     -1.96      0.50      0.99
               rw[100]     -1.69      0.00     -1.69     -1.69     -1.69      0.50      0.99
               rw[101]      1.71      0.00      1.71      1.71      1.71      0.50      0.99
               rw[102]      0.20      0.00      0.20      0.20      0.20      0.50      0.99
               rw[103]     -1.45      0.00     -1.45     -1.45     -1.45      0.50      0.99
               rw[104]     -0.59      0.00     -0.59     -0.59     -0.59      0.50      0.99
               rw[105]     -0.82      0.00     -0.82     -0.82     -0.82      0.50      0.99
               rw[106]     -1.19      0.00     -1.19     -1.19     -1.19      0.50      0.99
               rw[107]      1.72      0.00      1.72      1.72      1.72      0.50      0.99
               rw[108]     -0.29      0.00     -0.29     -0.29     -0.29      0.50      0.99
               rw[109]      1.04      0.00      1.04      1.04      1.04      0.50      0.99
               rw[110]     -0.68      0.00     -0.68     -0.68     -0.68      0.50      0.99
               rw[111]     -0.94      0.00     -0.94     -0.94     -0.94      0.50      0.99
               rw[112]      0.40      0.00      0.40      0.40      0.40       nan       nan
               rw[113]      0.98      0.00      0.98      0.98      0.98      0.50      0.99
               rw[114]     -1.42      0.00     -1.42     -1.42     -1.42      0.50      0.99
               rw[115]     -1.96      0.00     -1.96     -1.96     -1.96      0.50      0.99
               rw[116]      0.93      0.00      0.93      0.93      0.93      0.50      0.99
               rw[117]     -1.68      0.00     -1.68     -1.68     -1.68      0.50      0.99
               rw[118]     -1.63      0.00     -1.63     -1.63     -1.63      0.50      0.99
               rw[119]     -0.27      0.00     -0.27     -0.27     -0.27      0.50      0.99
               rw[120]      0.60      0.00      0.60      0.60      0.60      0.50      0.99
               rw[121]      1.47      0.00      1.47      1.47      1.47      0.50      0.99
               rw[122]     -1.29      0.00     -1.29     -1.29     -1.29      0.50      0.99
               rw[123]      1.18      0.00      1.18      1.18      1.18      0.50      0.99
               rw[124]      1.38      0.00      1.38      1.38      1.38      0.50      0.99
               rw[125]      0.59      0.00      0.59      0.59      0.59      0.50      0.99
               rw[126]     -0.96      0.00     -0.96     -0.96     -0.96      0.50      0.99
               rw[127]     -0.77      0.00     -0.77     -0.77     -0.77      0.50      0.99
               rw[128]     -0.66      0.00     -0.66     -0.66     -0.66      0.50      0.99
               rw[129]     -0.91      0.00     -0.91     -0.91     -0.91      0.50      0.99
               rw[130]     -0.46      0.00     -0.46     -0.46     -0.46      0.50      0.99
               rw[131]     -1.91      0.00     -1.91     -1.91     -1.91      0.50      0.99
               rw[132]      1.91      0.00      1.91      1.91      1.91      0.50      0.99
               rw[133]      0.90      0.00      0.90      0.90      0.90      0.50      0.99
               rw[134]      1.99      0.00      1.99      1.99      1.99      0.50      0.99
               rw[135]      0.15      0.00      0.15      0.15      0.15       nan       nan
               rw[136]     -0.51      0.00     -0.51     -0.51     -0.51      0.50      0.99
               rw[137]      1.70      0.00      1.70      1.70      1.70      0.50      0.99
               rw[138]     -1.35      0.00     -1.35     -1.35     -1.35      0.50      0.99
               rw[139]      0.51      0.00      0.51      0.51      0.51      0.50      0.99
               rw[140]      0.48      0.00      0.48      0.48      0.48      0.50      0.99
               rw[141]     -1.35      0.00     -1.35     -1.35     -1.35      0.50       nan
               rw[142]      0.01      0.00      0.01      0.01      0.01       nan       nan
               rw[143]      0.58      0.00      0.58      0.58      0.58      0.50      0.99
               rw[144]      0.89      0.00      0.89      0.89      0.89      0.50      0.99
               rw[145]     -0.13      0.00     -0.13     -0.13     -0.13      0.50      0.99
               rw[146]      0.40      0.00      0.40      0.40      0.40      0.50      0.99
               rw[147]      0.50      0.00      0.50      0.50      0.50      0.50      0.99
               rw[148]      2.00      0.00      2.00      2.00      2.00      0.50      0.99
               rw[149]     -1.45      0.00     -1.45     -1.45     -1.45      0.50      0.99
               rw[150]      1.16      0.00      1.16      1.16      1.16      0.50      0.99
                 sigma      0.20      0.00      0.20      0.20      0.20      0.50       nan

Number of divergences: 200
